callsign|channel|city|state|licensee|lat|lon
WCTE|22|COOKEVILLE|TN|UPPER CUMBERLAND BROADCAST COUNCIL|36.173889|-85.343611
WCTI-TV|10|NEW BERN|NC|WCTI LICENSEE, LLC|35.104444|-77.336389
WCTV|20|THOMASVILLE|GA|GRAY TELEVISION LICENSEE, LLC|30.670556|-83.940556
WCTX|10|NEW HAVEN|CT|NEXSTAR MEDIA INC.|41.422833|-72.951361
WCVB-TV|33|BOSTON|MA|HEARST STATIONS INC.|42.310278|-71.236667
WCVE-TV|22|RICHMOND|VA|VPM MEDIA CORPORATION|37.512667|-77.601333
WCVN-TV|22|COVINGTON|KY|KENTUCKY AUTHORITY FOR EDUCATIONAL TV|39.030833|-84.506389
WCVW|29|RICHMOND|VA|VPM MEDIA CORPORATION|37.512667|-77.601333
WCWF|15|SURING|WI|WCWF LICENSEE, LLC|44.408889|-87.991944
WCWG|16|LEXINGTON|NC|HEARST PROPERTIES INC.|36.375167|-80.373667
WCWJ|20|JACKSONVILLE|FL|GRAHAM MEDIA GROUP, FLORIDA, INC.|30.273611|-81.553333
WCWN|22|SCHENECTADY|NY|WCWN LICENSEE, LLC|42.625361|-74.010194
WCYB-TV|35|BRISTOL|VA|SINCLAIR MEDIA LICENSEE, LLC|36.449500|-82.107972
WDAF-TV|34|KANSAS CITY|MO|WDAF LICENSE, INC.|39.072500|-94.596111
WDAM-TV|7|LAUREL|MS|GRAY TELEVISION LICENSEE, LLC|31.453611|-89.284722
WDAY-TV|21|FARGO|ND|FORUM COMMUNICATIONS COMPANY|47.007778|-97.200833
WDAZ-TV|8|DEVIL'S LAKE|ND|FORUM COMMUNICATIONS COMPANY|48.138333|-97.993333
WDBB|14|BESSEMER|AL|WDBB-TV, INC.|33.480000|-87.430556
WDBD|14|JACKSON|MS|WDBD LICENSE SUBSIDIARY, LLC|32.213861|-90.382361
WDBJ|30|ROANOKE|VA|GRAY TELEVISION LICENSEE, LLC|37.195194|-80.156139
WDCA|36|WASHINGTON|DC|FOX TELEVISION STATIONS, LLC|38.963861|-77.104778
WDCQ-TV|15|BAD AXE|MI|DELTA COLLEGE|43.542528|-83.660278
WDCW|15|WASHINGTON|DC|TRIBUNE MEDIA COMPANY|38.940000|-77.081389
WDEF-TV|8|CHATTANOOGA|TN|WDEF-TV, INC.|35.135000|-85.323611
WDFX-TV|33|OZARK|AL|DOTHAN TV LLC|31.208000|-85.613556
WDHN|21|DOTHAN|AL|NEXSTAR MEDIA INC.|31.240556|-85.311944
WDIO-DT|10|DULUTH|MN|WDIO-TV, LLC|46.787500|-92.122778
WDIQ|10|DOZIER|AL|ALABAMA EDUCATIONAL TELEVISION COMMISSION|31.554611|-86.392194
WDIV-TV|32|DETROIT|MI|GRAHAM MEDIA GROUP, MICHIGAN, INC.|42.482778|-83.205278
WDJT-TV|29|MILWAUKEE|WI|WDJT-TV LIMITED PARTNERSHIP|43.111667|-87.930556
WDKA|25|PADUCAH|KY|PADUCAH TELEVISION LICENSE LLC|37.395000|-88.939722
WDKY-TV|19|DANVILLE|KY|TRIBUNE MEDIA COMPANY|37.880806|-84.321083
WDLI-TV|22|CANTON|OH|INYO BROADCAST LICENSES LLC|41.055556|-81.593611
WDPM-DT|23|MOBILE|AL|WORD OF GOD FELLOWSHIP, INC|30.611389|-87.607333
WDPX-TV|22|WOBURN|MA|ION MEDIA BOSTON LICENSE, LLC|42.384083|-71.493139
WDRB|32|LOUISVILLE|KY|INDEPENDENCE TELEVISION COMPANY|38.350278|-85.849167
WDSC-TV|24|NEW SMYRNA BEACH|FL|DAYTONA STATE COLLEGE|28.610000|-81.059444
WDSE|8|DULUTH|MN|DULUTH-SUPERIOR AREA EDUCATIONAL TELEVISION CORPORATION|46.791583|-92.122611
WDSI-TV|14|CHATTANOOGA|TN|NEW AGE MEDIA OF TENNESSEE LICENSE, LLC|35.160750|-85.318278
WDSU|19|NEW ORLEANS|LA|NEW ORLEANS HEARST TELEVISION INC.|29.950000|-89.957778
WDTI|23|INDIANAPOLIS|IN|INDIANAPOLIS COMMUNITY TELEVISION, INC.|39.894222|-86.205694
WDTN|31|DAYTON|OH|NEXSTAR MEDIA INC.|39.718889|-84.255861
WDTV|33|WESTON|WV|GRAY TELEVISION LICENSEE, LLC|39.300556|-80.343333
WDVM-TV|23|HAGERSTOWN|MD|NEXSTAR MEDIA INC.|38.955889|-78.024722
WEAO|24|AKRON|OH|NORTHEASTERN EDUCATIONAL TELEVISION OF OHIO, INC.|41.082917|-81.633778
WEAR-TV|17|PENSACOLA|FL|WEAR LICENSEE, LLC|30.612611|-87.644889
WEAU|17|EAU CLAIRE|WI|GRAY TELEVISION LICENSEE, LLC|44.663889|-90.961389
WEBA-TV|21|ALLENDALE|SC|SOUTH CAROLINA EDUCATIONAL TV COMMISSION|33.187778|-81.397083
WECT|23|WILMINGTON|NC|GRAY TELEVISION LICENSEE, LLC|34.131667|-78.187778
WEDH|30|HARTFORD|CT|CONNECTICUT PUBLIC BROADCASTING, INC.|41.703611|-72.831944
WEDN|9|NORWICH|CT|CONNECTICUT PUBLIC BROADCASTING, INC.|41.520556|-72.166944
WEDQ|13|TAMPA|FL|FLORIDA WEST COAST PUBLIC BROADCASTING, INC.|27.847639|-82.263722
WEDU|13|TAMPA|FL|FLORIDA WEST COAST PUBLIC BROADCASTING, INC.|27.847639|-82.263722
WEDW|21|STAMFORD|CT|CONNECTICUT PUBLIC BROADCASTING, INC.|40.748333|-73.985833
WEDY|30|NEW HAVEN|CT|CONNECTICUT PUBLIC BROADCASTING, INC.|41.703611|-72.831944
WEEK-TV|25|PEORIA|IL|GRAY TELEVISION LICENSEE, LLC|40.629444|-89.548056
WEFS|30|COCOA|FL|EASTERN FLORIDA STATE COLLEGE|28.610000|-81.059444
WEHT|12|EVANSVILLE|IN|NEXSTAR MEDIA INC.|37.865833|-87.567778
WEIQ|30|MOBILE|AL|ALABAMA EDUCATIONAL TELEVISION COMMISSION|30.659444|-87.892500
WEIU-TV|30|CHARLESTON|IL|EASTERN ILLINOIS UNIVERSITY|39.570833|-88.307083
WEKW-TV|18|KEENE|NH|NEW HAMPSHIRE PUBLIC BROADCASTING|43.033333|-72.367222
WELF-TV|28|DALTON|GA|TRINITY BROADCASTING OF TEXAS, INC.|34.823167|-85.418306
WEMT|28|GREENEVILLE|TN|SINCLAIR MEDIA LICENSEE, LLC|36.449500|-82.107972
WENH-TV|11|DURHAM|NH|NEW HAMPSHIRE PUBLIC BROADCASTING|43.175833|-71.207500
WENY-TV|35|ELMIRA|NY|LILLY BROADCASTING, LLC|42.142000|-77.077444
WEPH|17|TUPELO|MS|CHRISTIAN TELEVISION NETWORK OF MISSISSIPPI, INC.|33.794444|-89.087778
WEPX-TV|36|GREENVILLE|NC|ION TELEVISION LICENSE, LLC|35.200722|-77.186889
WESH|11|DAYTONA BEACH|FL|HEARST PROPERTIES INC.|28.610000|-81.059444
WETA-TV|31|WASHINGTON|DC|GREATER WASHINGTON EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION|38.950278|-77.079444
WETM-TV|23|ELMIRA|NY|NEXSTAR MEDIA INC.|42.106111|-76.871111
WETP-TV|24|SNEEDVILLE|TN|EAST TENNESSEE PUBLIC COMMUNICATIONS CORP.|36.381194|-83.180222
WEUX|21|CHIPPEWA FALLS|WI|NEXSTAR MEDIA INC.|44.956667|-91.667778
WEVV-TV|28|EVANSVILLE|IN|BCBE LICENSE SUBSIDIARY, LLC|37.888111|-87.543611
WEWS-TV|15|CLEVELAND|OH|SCRIPPS BROADCASTING HOLDINGS LLC|41.373889|-81.717500
WEYI-TV|18|SAGINAW|MI|WEYI LICENSEE, LLC|43.216944|-83.721389
WFAA|8|DALLAS|TX|WFAA-TV, INC.|32.585333|-96.978361
WFBD|29|DESTIN|FL|RADIANT LIFE MINISTRIES, INC.|30.997889|-86.720306
WFDC-DT|15|ARLINGTON|VA|UNIMAS D.C. LLC|38.940000|-77.081389
WFFT-TV|20|FORT WAYNE|IN|FT. WAYNE TV LICENSE COMPANY, LLC|41.109278|-85.195056
WFGC|7|PALM BEACH|FL|CHRISTIAN TELEVISION OF PALM BEACH COUNTY, INC.|26.589222|-80.211889
WFGX|14|FORT WALTON BEACH|FL|WFGX LICENSEE, LLC|30.612611|-87.644889
WFIE|26|EVANSVILLE|IN|GRAY TELEVISION LICENSEE, LLC|37.887278|-87.518611
WFIQ|22|FLORENCE|AL|ALABAMA EDUCATIONAL TELEVISION COMMISSION|34.578056|-87.783889
WFLA-TV|9|TAMPA|FL|NEXSTAR MEDIA INC.|27.842500|-82.262222
WFLD|31|CHICAGO|IL|FOX TELEVISION STATIONS, LLC|41.878917|-87.636167
WFLI-TV|23|CLEVELAND|TN|WTVC LICENSEE, LLC|35.160750|-85.318278
WFLX|35|WEST PALM BEACH|FL|GRAY TELEVISION LICENSEE, LLC|26.575194|-80.241972
WFMJ-TV|33|YOUNGSTOWN|OH|WFMJ TELEVISION, INC.|41.080167|-80.640111
WFMY-TV|35|GREENSBORO|NC|WFMY TELEVISION, LLC|35.870417|-79.840000
WFMZ-TV|9|ALLENTOWN|PA|MARANATHA BROADCASTING COMPANY, INC.|40.564444|-75.440000
WFNA|27|GULF SHORES|AL|NEXSTAR MEDIA INC.|30.689000|-87.830722
WFOR-TV|22|MIAMI|FL|CBS TELEVISION STATIONS INC.|25.968889|-80.221944
WFOX-TV|14|JACKSONVILLE|FL|COX TELEVISION JACKSONVILLE, LLC|30.281083|-81.570056
WFPT|28|FREDERICK|MD|MARYLAND PUBLIC BROADCASTING COMMISSION|39.260556|-77.312111
WFPX-TV|32|ARCHER LODGE|NC|ION MEDIA LICENSE COMPANY, LLC|35.831333|-78.145222
WFQX-TV|32|CADILLAC|MI|CADILLAC TELECASTING CO.|44.136667|-85.342500
WFRV-TV|22|GREEN BAY|WI|NEXSTAR MEDIA INC.|44.333361|-87.982139
WFSB|36|HARTFORD|CT|GRAY TELEVISION LICENSEE, LLC|41.775000|-72.805083
WFSG|28|PANAMA CITY|FL|FLORIDA STATE UNIVERSITY|30.367500|-85.924444
WFSU-TV|32|TALLAHASSEE|FL|FLORIDA STATE UNIVERSITY|30.358806|-84.610472
WFTC|29|MINNEAPOLIS|MN|FOX TELEVISION STATIONS, LLC|45.058333|-93.124444
WFTS-TV|17|TAMPA|FL|SCRIPPS BROADCASTING HOLDINGS LLC|27.842500|-82.262222
WFTV|35|ORLANDO|FL|WFTV, LLC|28.568944|-81.054333
WFTX-TV|34|CAPE CORAL|FL|SUN BROADCASTING, INC.|26.794361|-81.801111
WFTY-DT|23|SMITHTOWN|NY|UNIVISION NEW YORK LLC|40.889722|-72.953056
WFUP|21|VANDERBILT|MI|CADILLAC TELECASTING CO.|45.170000|-84.751111
WFUT-DT|26|NEWARK|NJ|UNIVISION NEW YORK LLC|40.748333|-73.985833
WFWA|18|FORT WAYNE|IN|FORT WAYNE PUBLIC TELEVISION, INC.|41.103611|-85.191111
WFXB|36|MYRTLE BEACH|SC|SPRINGFIELD BROADCASTING PARTNERS|34.188889|-79.183056
WFXG|36|AUGUSTA|GA|AUGUSTA TV LLC|33.416944|-81.834722
WFXL|29|ALBANY|GA|WFXL LICENSEE, LLC|31.331389|-83.861944
WFXP|26|ERIE|PA|MISSION BROADCASTING, INC.|42.040278|-80.068889
WFXR|36|ROANOKE|VA|NEXSTAR MEDIA INC.|37.196611|-80.154056
WFXT|34|BOSTON|MA|WFXT (BOSTON), LLC|42.302972|-71.218028
WFXU|17|LIVE OAK|FL|GRAY TELEVISION LICENSEE, LLC|30.550222|-83.013056
WFXV|34|UTICA|NY|NEXSTAR MEDIA INC.|43.144750|-75.175611
WFXW|15|GREENVILLE|MS|RADIANT LIFE MINISTRIES, INC.|33.657500|-90.704778
WFYI|21|INDIANAPOLIS|IN|METROPOLITAN INDIANAPOLIS PUBLIC MEDIA, INC.|39.899139|-86.200667
WGAL|8|LANCASTER|PA|HEARST PROPERTIES INC.|40.034444|-76.618611
WGBA-TV|14|GREEN BAY|WI|SCRIPPS BROADCASTING HOLDINGS LLC|44.358333|-87.980111
WGBC|31|MERIDIAN|MS|CTM LICENSE LLC|32.327778|-88.691944
WGBH-TV|5|BOSTON|MA|WGBH EDUCATIONAL FOUNDATION|42.302972|-71.218028
WGBO-DT|35|JOLIET|IL|WGBO LICENSE PARTNERSHIP, G.P.|41.898917|-87.623111
WGBP-TV|17|OPELIKA|AL|CNZ COMMUNICATIONS SE, LLC|32.321222|-84.791167
WGBX-TV|32|BOSTON|MA|WGBH EDUCATIONAL FOUNDATION|42.310278|-71.236667
WGBY-TV|13|SPRINGFIELD|MA|WGBH EDUCATIONAL FOUNDATION|42.241528|-72.648361
WGCU|22|FORT MYERS|FL|THE FLORIDA GULF COAST UNIVERSITY BOARD OF TRUSTEES|26.815278|-81.761667
WGEM-TV|19|QUINCY|IL|GRAY TELEVISION LICENSEE, LLC|39.972778|-91.331944
WGEN-TV|8|KEY WEST|FL|ESTRELLA TELEVISION LICENSE LLC|24.555500|-81.801250
WGFL|29|HIGH SPRINGS|FL|WGFL LICENSEE, LLC|29.629917|-82.573333
WGGB-TV|26|SPRINGFIELD|MA|GRAY TELEVISION LICENSEE, LLC|42.241667|-72.648611
WGGN-TV|3|SANDUSKY|OH|CHRISTIAN FAITH BROADCAST, INC.|41.075083|-82.451111
WGGS-TV|29|GREENVILLE|SC|CAROLINA CHRISTIAN BROADCASTING, INC.|34.313000|-82.940417
WGHP|31|HIGH POINT|NC|TRIBUNE BROADCASTING COMPANY II LLC|35.812917|-79.841139
WGIQ|30|LOUISVILLE|AL|ALABAMA EDUCATIONAL TELEVISION COMMISSION|31.718056|-85.434167
WGMB-TV|24|BATON ROUGE|LA|NEXSTAR MEDIA INC.|30.326278|-91.276694
WGN-TV|19|CHICAGO|IL|TRIBUNE MEDIA COMPANY|41.878917|-87.636167
WGNM|33|MACON|GA|CHRISTIAN TELEVISION NETWORK, INC.|32.764444|-83.558889
WGNO|26|NEW ORLEANS|LA|TRIBUNE TELEVISION NEW ORLEANS, INC.|29.950000|-89.957778
WGNT|20|PORTSMOUTH|VA|SCRIPPS BROADCASTING HOLDINGS LLC|36.808833|-76.503139
WGPT|26|OAKLAND|MD|MARYLAND PUBLIC BROADCASTING COMMISSION|39.404528|-79.291889
WGPX-TV|26|BURLINGTON|NC|INYO BROADCAST LICENSES LLC|35.870417|-79.840000
WGRZ|33|BUFFALO|NY|MULTIMEDIA ENTERTAINMENT, LLC|42.718611|-78.562778
WGTA|24|TOCCOA|GA|MARQUEE BROADCASTING GEORGIA, INC.|34.609917|-83.370639
WGTE-TV|29|TOLEDO|OH|PUBLIC BROADCASTING FOUNDATION OF NORTHWEST OHIO|41.657222|-83.431944
WGTQ|8|SAULT STE. MARIE|MI|WGTU LICENSEE, LLC|46.052222|-84.110556
WGTU|29|TRAVERSE CITY|MI|WGTU LICENSEE, LLC|44.748056|-85.068889
WGTV|7|ATHENS|GA|GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION|33.805000|-84.144444
WGTW-TV|36|MILLVILLE|NJ|TRINITY BROADCASTING OF TEXAS, INC.|39.124528|-74.765139
WGVK|5|KALAMAZOO|MI|GRAND VALLEY STATE UNIVERSITY|42.306417|-85.656944
WGVU-TV|11|GRAND RAPIDS|MI|GRAND VALLEY STATE UNIVERSITY|42.959639|-85.895806
WGWG|34|CHARLESTON|SC|HSH CHARLESTON (WGWG) LICENSEE, LLC|32.924722|-79.699167
WGWW|9|ANNISTON|AL|HSH BIRMINGHAM (WSES & WGWW) LICENSE, LLC|33.606667|-86.417500
WGXA|26|MACON|GA|WGXA LICENSEE, LLC|32.749556|-83.559583
WHA-TV|20|MADISON|WI|BOARD OF REGENTS OF THE UNIVERSITY OF WISCONSIN SYSTEM|43.055833|-89.535000
WHAM-TV|9|ROCHESTER|NY|WHAM LICENSEE, LLC|43.135278|-77.583889
WHAS-TV|11|LOUISVILLE|KY|SANDER OPERATING CO. I LLC D/B/A WHAS TELEVISION|38.356389|-85.847778
WHBF-TV|4|ROCK ISLAND|IL|NEXSTAR MEDIA INC.|41.546889|-90.477167
WHBQ-TV|13|MEMPHIS|TN|RINCON BROADCASTING MEMPHIS LLC|35.174722|-89.845278
WHBR|34|PENSACOLA|FL|CHRISTIAN TELEVISION OF PENSACOLA/MOBILE, INC.|30.612611|-87.644889
WHDF|2|FLORENCE|AL|NEXSTAR MEDIA INC.|35.002500|-87.135833
WHDH|35|BOSTON|MA|WHDH-TV|42.311389|-71.216111
WHDT|34|STUART|FL|SCRIPPS BROADCASTING HOLDINGS LLC|26.575194|-80.241972
WHEC-TV|10|ROCHESTER|NY|WHEC-TV, LLC|43.135639|-77.583694
WHFT-TV|28|MIAMI|FL|TRINITY BROADCASTING OF FLORIDA, INC.|25.993139|-80.173889
WHIO-TV|33|DAYTON|OH|MIAMI VALLEY BROADCASTING CORPORATION|39.733833|-84.247833
WHIQ|24|HUNTSVILLE|AL|ALABAMA EDUCATIONAL TELEVISION COMMISSION|34.736833|-86.529194
WHIZ-TV|30|ZANESVILLE|OH|MARQUEE BROADCASTING OHIO, INC.|39.928333|-81.985278
WHKY-TV|14|HICKORY|NC|FAMILY WORSHIP CENTER CHURCH, INC.|35.657917|-81.406472
WHLA-TV|15|LA CROSSE|WI|STATE OF WISCONSIN - EDUCATIONAL COMMUNICATIONS BOARD|43.805083|-91.368083
WHLT|22|HATTIESBURG|MS|NEXSTAR MEDIA INC.|31.405389|-89.237444
WHLV-TV|32|COCOA|FL|TRINITY BROADCASTING OF TEXAS, INC.|28.586833|-81.082639
WHMB-TV|7|INDIANAPOLIS|IN|FAMILY ENTERTAINMENT TELEVISION, INC.|39.894222|-86.205694
WHMC|28|CONWAY|SC|SOUTH CAROLINA EDUCATIONAL TV COMMISSION|33.949722|-79.108333
WHME-TV|36|SOUTH BEND|IN|FAMILY ENTERTAINMENT TELEVISION, INC.|41.595278|-86.160556
WHNO|21|NEW ORLEANS|LA|CHRISTIAN TELEVISION CORPORATION OF NEW ORLEANS, INC.|29.982778|-89.949444
WHNS|17|GREENVILLE|SC|GRAY TELEVISION LICENSEE, LLC|35.182222|-82.681944
WHNT-TV|19|HUNTSVILLE|AL|NEXSTAR MEDIA INC.|34.738611|-86.532222
WHO-DT|13|DES MOINES|IA|TRIBUNE BROADCASTING COMPANY II LLC|41.809167|-93.615000
WHOI|24|PEORIA|IL|GRAY TELEVISION LICENSEE, LLC|40.629444|-89.548056
WHP-TV|32|HARRISBURG|PA|HARRISBURG LICENSEE, LLC|40.345306|-76.868972
WHPX-TV|28|NEW LONDON|CT|INYO BROADCAST LICENSES LLC|41.703611|-72.831944
WHRM-TV|24|WAUSAU|WI|STATE OF WISCONSIN - EDUCATIONAL COMMUNICATIONS BOARD|44.920611|-89.691306
WHRO-TV|31|HAMPTON-NORFOLK|VA|HAMPTON ROADS EDUCATIONAL TELECOMMUNICATIONS ASSOCIATION, INC.|36.808833|-76.503139
WHSG-TV|22|MONROE|GA|TRINITY BROADCASTING OF TEXAS, INC.|33.744694|-84.359917
WHSV-TV|20|HARRISONBURG|VA|GRAY TELEVISION LICENSEE, LLC|38.165500|-79.312472
WHTJ|26|CHARLOTTESVILLE|VA|VPM MEDIA CORPORATION|37.983333|-78.483611
WHTM-TV|10|HARRISBURG|PA|NEXSTAR MEDIA INC.|40.316056|-76.950278
WHTN|16|MURFREESBORO|TN|CHRISTIAN TELEVISION NETWORK, INC.|36.083417|-86.430778
WHUT-TV|33|WASHINGTON|DC|HOWARD UNIVERSITY|38.950278|-77.079444
WHWC-TV|27|MENOMONIE|WI|STATE OF WISCONSIN - EDUCATIONAL COMMUNICATIONS BOARD|45.046917|-91.863222
WIAT|30|BIRMINGHAM|AL|NEXSTAR MEDIA INC.|33.483889|-86.805833
WIBW-TV|13|TOPEKA|KS|GRAY TELEVISION LICENSEE, LLC|39.006111|-96.049444
WICD|32|CHAMPAIGN|IL|RINCON BROADCASTING CHAMPAIGN LLC|40.069444|-87.912778
WICS|15|SPRINGFIELD|IL|RINCON BROADCASTING CHAMPAIGN LLC|39.804167|-89.461111
WICU-TV|12|ERIE|PA|SJL OF PENNSYLVANIA, INC.|42.037778|-80.061944
WICZ-TV|7|BINGHAMTON|NY|BINGHAMTON LICENSE LLC|42.056111|-75.943889
WIFS|21|JANESVILLE|WI|BYRNE ACQUISITION GROUP, LLC|43.055833|-89.535000
WIIQ|19|DEMOPOLIS|AL|ALABAMA EDUCATIONAL TELEVISION COMMISSION|32.362639|-87.875139
WILL-TV|9|URBANA|IL|THE BOARD OF TRUSTEES OF THE UNIVERSITY OF ILLINOIS|40.038889|-88.669444
WILX-TV|10|ONONDAGA|MI|GRAY TELEVISION LICENSEE, LLC|42.442500|-84.572500
WINK-TV|31|FORT MYERS|FL|FORT MYERS BROADCASTING COMPANY|26.800778|-81.762306
WINM|12|ANGOLA|IN|TRI-STATE CHRISTIAN TV, INC.|41.454167|-84.802778
WINP-TV|16|PITTSBURGH|PA|ION TELEVISION LICENSE, LLC|40.446167|-79.963944
WIPB|19|MUNCIE|IN|BALL STATE UNIVERSITY|40.093611|-85.392222
WIPX-TV|28|BLOOMINGTON|IN|INYO BROADCAST LICENSES LLC|39.403833|-86.147944
WIRT-DT|13|HIBBING|MN|WDIO-TV, LLC|47.381389|-92.954444
WIS|10|COLUMBIA|SC|GRAY TELEVISION LICENSEE, LLC|34.125000|-80.756111
WISC-TV|11|MADISON|WI|TELEVISION WISCONSIN, INC.|43.055833|-89.535000
WISE-TV|34|FORT WAYNE|IN|GRAY TELEVISION LICENSEE, LLC|41.102111|-85.184333
WISH-TV|9|INDIANAPOLIS|IN|CCB LICENSE, LLC|39.890278|-86.205556
WISN-TV|28|MILWAUKEE|WI|WISN HEARST TELEVISION INC.|43.111667|-87.928333
WITF-TV|36|HARRISBURG|PA|PENNON ORGANIZATION|40.345444|-76.868778
WITI|31|MILWAUKEE|WI|FOX TELEVISION STATIONS, LLC|43.090556|-87.897222
WITN-TV|34|WASHINGTON|NC|GRAY TELEVISION LICENSEE, LLC|35.365528|-77.392944
WITV|24|CHARLESTON|SC|SOUTH CAROLINA EDUCATIONAL TV COMMISSION|32.924722|-79.699167
WIVB-TV|36|BUFFALO|NY|NEXSTAR MEDIA INC.|42.659167|-78.625556
WIVT|27|BINGHAMTON|NY|NEXSTAR MEDIA INC.|42.060833|-75.943056
WIWN|5|FOND DU LAC|WI|FAMILY WORSHIP CENTER CHURCH, INC.|43.096167|-87.904167
WIYC|19|TROY|AL|MONTGOMERY TV LICENSE COMPANY, LLC|32.060139|-85.950500
WJAC-TV|35|JOHNSTOWN|PA|WJAC LICENSEE, LLC|40.371389|-78.981944
WJAL|9|SILVER SPRING|MD|ENTRAVISION HOLDINGS, LLC|38.950278|-77.079444
WJAR|25|PROVIDENCE|RI|WJAR LICENSEE, LLC|41.865389|-71.286861
WJAX-TV|19|JACKSONVILLE|FL|HOFFMAN COMMUNICATIONS, INC.|30.281083|-81.570056
WJBF|28|AUGUSTA|GA|NEXSTAR MEDIA INC.|33.405750|-81.833472
WJBK|7|DETROIT|MI|NEW WORLD COMMUNICATIONS OF DETROIT, INC.|42.460556|-83.213889
WJCL|22|SAVANNAH|GA|WJCL HEARST TELEVISION LLC|32.058333|-81.338333
WJCT|9|JACKSONVILLE|FL|WJCT, INC.|30.281083|-81.570056
WJEB-TV|21|JACKSONVILLE|FL|JACKSONVILLE EDUCATORS BROADCASTING, INC.|30.276389|-81.564083
WJET-TV|28|ERIE|PA|NEXSTAR MEDIA INC.|42.040278|-80.068889
WJFB|25|LEBANON|TN|WJFB-TV LLC|36.268028|-86.795750
WJFW-TV|16|RHINELANDER|WI|NORTHLAND TELEVISION, LLC|45.667500|-89.208056
WJHG-TV|16|PANAMA CITY|FL|GRAY TELEVISION LICENSEE, LLC|30.352500|-85.391111
WJHL-TV|9|JOHNSON CITY|TN|NEXSTAR MEDIA INC.|36.431861|-82.137556
WJKT|21|JACKSON|TN|NEXSTAR MEDIA INC.|35.790833|-89.099444
WJLA-TV|7|WASHINGTON|DC|ACC LICENSEE, LLC|38.950278|-77.079444
WJLP|3|MIDDLETOWN TOWNSHIP|NJ|WJLP-TV LIMITED PARTNERSHIP|40.713000|-74.013139
WJMN-TV|32|ESCANABA|MI|SULLIVANS LANDING, LLC|46.134722|-86.948889
WJPM-TV|16|FLORENCE|SC|SOUTH CAROLINA EDUCATIONAL TV COMMISSION|34.280028|-79.742889
WJRT-TV|12|FLINT|MI|FLINT TV LICENSE COMPANY,|43.230278|-84.058889
WJSP-TV|5|COLUMBUS|GA|GEORGIA PUBLIC TELECOMMUNICATIONS COMMISSION|32.851889|-84.701528
WJTC|35|PENSACOLA|FL|DEERFIELD MEDIA (MOBILE) LICENSEE, LLC|30.587972|-87.553528
WJTV|12|JACKSON|MS|NEXSTAR MEDIA INC.|32.240833|-90.404167
WJW|8|CLEVELAND|OH|TRIBUNE BROADCASTING COMPANY II LLC|41.363333|-81.715833
WJWJ-TV|32|BEAUFORT|SC|SOUTH CAROLINA EDUCATIONAL TV COMMISSION|32.711806|-80.681611
WJXT|18|JACKSONVILLE|FL|GRAHAM MEDIA GROUP, FLORIDA, INC.|30.273611|-81.553333
WJXX|10|ORANGE PARK|FL|MULTIMEDIA HOLDINGS CORPORATION|30.273611|-81.553333
WJYS|21|HAMMOND|IN|MILLENIAL TELECOMMUNICATIONS, INC.|41.878889|-87.635556
WJZ-TV|11|BALTIMORE|MD|CBS TELEVISION LICENSES LLC|39.334722|-76.650556
WJZY|25|BELMONT|NC|TRIBUNE MEDIA COMPANY|35.362361|-81.155083
WKAR-TV|33|EAST LANSING|MI|BOARD OF TRUSTEES, MICHIGAN STATE UNIVERSITY|42.701917|-84.413278
WKAS|36|ASHLAND|KY|KENTUCKY AUTHORITY FOR EDUCATIONAL TV|38.462222|-82.620000
WKBD-TV|34|DETROIT|MI|DETROIT TELEVISION STATION WKBD INC.|42.483611|-83.312222
WKBN-TV|31|YOUNGSTOWN|OH|NEXSTAR MEDIA INC.|41.056500|-80.645278
WKBS-TV|6|ALTOONA|PA|CORNERSTONE TELEVISION, INC.|40.567694|-78.440333
WKBT-DT|8|LA CROSSE|WI|QUEENB TELEVISION, LLC|44.091111|-91.338056
WKBW-TV|34|BUFFALO|NY|SCRIPPS BROADCASTING HOLDINGS LLC|42.637500|-78.619722
WKCF|23|CLERMONT|FL|HEARST PROPERTIES INC.|28.586833|-81.082639
WKEF|34|DAYTON|OH|WKEF LICENSEE L.P.|39.724611|-84.254889
WKGB-TV|29|BOWLING GREEN|KY|KENTUCKY AUTHORITY FOR EDUCATIONAL TV|37.089722|-86.634722
WKHA|33|HAZARD|KY|KENTUCKY AUTHORITY FOR EDUCATIONAL TV|37.193056|-83.188056
WKLE|35|LEXINGTON|KY|KENTUCKY AUTHORITY FOR EDUCATIONAL TV|37.879167|-84.325833
WKMA-TV|31|MADISONVILLE|KY|KENTUCKY AUTHORITY FOR EDUCATIONAL TV|37.189167|-87.513611
WKMG-TV|26|ORLANDO|FL|WKMG-TV|28.610000|-81.059444
WKMJ-TV|34|LOUISVILLE|KY|KENTUCKY AUTHORITY FOR EDUCATIONAL TV|38.366944|-85.831667
WKMR|30|MOREHEAD|KY|KENTUCKY AUTHORITY FOR EDUCATIONAL TV|38.177222|-83.404722
WKMU|17|MURRAY|KY|KENTUCKY AUTHORITY FOR EDUCATIONAL TV|36.692778|-88.536389
WKNO|29|MEMPHIS|TN|MID-SOUTH PUBLIC COMMUNICATIONS FOUNDATION|35.154444|-89.822222
WKNX-TV|7|KNOXVILLE|TN|TENNESSEE TV, LLC|36.010000|-83.932500
